,City,Latitude,Longitude,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
0,Denver,39.7392,-104.9847,52.0,21,0,1.01,US,1616095856
1,Boston,42.3584,-71.0598,46.99,87,100,5.75,US,1616095937
2,Los Angeles,34.0522,-118.2437,68.0,52,1,5.41,US,1616096055
3,Oregon,44.0001,-120.5014,55.99,39,100,13.0,US,1616096228
4,Quito,-0.2299,-78.5249,64.4,63,75,8.05,EC,1616096187
5,Kampala,0.3163,32.5822,69.8,88,20,9.22,UG,1616096230
6,Padang,-0.9492,100.3543,75.2,100,90,2.3,ID,1616096232
7,Chui,-33.6971,-53.4616,55.71,80,6,4.81,UY,1616139822
8,Hobyo,5.3505,48.5268,86.27,61,3,14.43,SO,1616139824
9,Umm Kaddadah,13.6017,26.6876,89.91,11,4,21.77,SD,1616139719
10,Itapaci,-14.9508,-49.5494,66.92,93,100,1.97,BR,1616139826
11,Hobart,-42.8794,147.3294,69.8,49,20,11.5,AU,1616139813
12,Kapaa,22.0752,-159.319,69.8,78,90,20.71,US,1616139829
13,Flinders,-34.5833,150.8552,70.0,86,100,4.0,AU,1616139724
14,São João da Barra,-21.6403,-41.0511,74.48,88,88,11.03,BR,1616139832
15,Avarua,-21.2078,-159.775,77.0,88,40,3.44,CK,1616139833
16,San Patricio,28.017,-97.5169,57.2,54,1,11.5,US,1616139835
17,New Norfolk,-42.7826,147.0587,68.0,50,0,1.01,AU,1616139836
18,Trunovskoye,45.4878,42.1358,44.6,65,40,20.13,RU,1616139837
19,Port Alfred,-33.5906,26.891,71.26,77,99,19.17,ZA,1616139839
20,Amahai,-3.3333,128.9167,83.66,79,92,3.04,ID,1616139840
21,Ushuaia,-54.8,-68.3,44.6,70,75,6.91,AR,1616139558
22,Hilo,19.7297,-155.09,68.0,83,90,5.75,US,1616139695
23,Aranzazu,5.2712,-75.4904,56.66,94,100,1.74,CO,1616139844
24,Hirara,24.8,125.2833,77.0,78,40,10.36,JP,1616139845
25,Bétaré Oya,5.6,14.0833,82.47,59,57,2.3,CM,1616139847
26,Araouane,18.9048,-3.5265,74.41,12,0,8.77,ML,1616139770
27,Isangel,-19.55,169.2667,76.8,80,100,12.66,VU,1616139812
28,Albany,42.6001,-73.9662,28.99,34,100,4.0,US,1616139850
29,Beringovskiy,63.05,179.3167,-5.78,99,100,9.08,RU,1616139852
30,Lovozero,68.005,35.0117,16.65,90,99,7.27,RU,1616139853
31,Arraial do Cabo,-22.9661,-42.0278,75.22,88,27,16.11,BR,1616139855
32,Tuktoyaktuk,69.4541,-133.0374,-16.19,100,98,8.93,CA,1616139804
33,Shirpur,21.35,74.8833,98.78,16,21,6.53,IN,1616139857
34,Hermanus,-34.4187,19.2345,64.99,79,98,11.54,ZA,1616139709
35,Upernavik,72.7868,-56.1549,-4.0,88,79,6.11,GL,1616139863
36,Saint George,37.1041,-113.5841,55.0,58,1,5.75,US,1616139690
37,Münsingen,48.4113,9.497,36.0,89,100,1.9,DE,1616139867
38,Butaritari,3.0707,172.7902,81.73,77,0,9.8,KI,1616139868
39,Verāval,20.9,70.3667,83.98,52,0,13.22,IN,1616139869
40,Mar del Plata,-38.0023,-57.5575,54.0,85,0,3.0,AR,1616139690
41,Bathsheba,13.2167,-59.5167,75.2,64,75,14.97,BB,1616139873
42,East London,-33.0153,27.9116,71.6,68,75,18.41,ZA,1616139874
43,Stromness,58.965,-3.296,44.6,93,75,10.36,GB,1616139876
44,Punta Arenas,-53.15,-70.9167,48.2,81,0,8.05,CL,1616139877
45,Alagoinhas,-12.1356,-38.4192,69.4,97,2,1.57,BR,1616139879
46,Dwārka,22.2394,68.9678,81.1,50,0,8.61,IN,1616139880
47,Atuona,-9.8,-139.0333,80.11,81,3,12.5,PF,1616139881
48,Bredasdorp,-34.5322,20.0403,64.4,68,75,5.75,ZA,1616139883
49,Mahabalipuram,12.6264,80.1722,87.8,55,40,8.05,IN,1616139884
50,Puerto Ayora,-0.7393,-90.3518,75.99,95,99,4.47,EC,1616139886
51,Babušnica,43.0597,22.4117,37.99,100,5,4.61,RS,1616139887
52,Ponta do Sol,32.6667,-17.1,59.0,30,0,3.0,PT,1616139888
53,Ostrovnoy,68.0531,39.5131,11.03,83,9,4.74,RU,1616139890
54,Kaitangata,-46.2817,169.8464,57.99,63,60,4.0,NZ,1616139786
55,Aykhal,66.0,111.5,-4.0,91,81,5.93,RU,1616139892
56,Rikitea,-23.1203,-134.9692,80.04,78,100,17.56,PF,1616139894
57,Baikunthpur,23.25,82.55,93.52,16,99,9.01,IN,1616139895
58,Umluj,25.0213,37.2685,77.81,47,0,13.73,SA,1616139897
59,Fortuna,40.5982,-124.1573,45.0,100,75,6.89,US,1616139778
60,Rome,43.2128,-75.4557,28.4,40,1,9.22,US,1616139746
61,Busselton,-33.65,115.3333,91.99,24,98,1.99,AU,1616139900
62,Maniitsoq,65.4167,-52.9,20.01,88,100,19.1,GL,1616139656
63,Dikson,73.5069,80.5464,-27.81,92,0,9.71,RU,1616139904
64,Oyama,36.3,139.8,60.01,47,75,12.66,JP,1616139905
65,Anloga,5.7947,0.8973,77.0,83,20,5.75,GH,1616139907
66,Leningradskiy,69.3833,178.4167,-20.88,88,0,1.43,RU,1616139717
67,Ribeira Grande,38.5167,-28.7,60.8,88,75,18.41,PT,1616139909
68,Ternate,0.8,127.4,83.44,74,100,7.45,ID,1616139911
69,Jamestown,42.097,-79.2353,28.0,50,1,16.35,US,1616139912
70,Barrow,71.2906,-156.7887,-2.2,71,75,6.91,US,1616139914
71,Lebu,-37.6167,-73.65,52.05,89,0,3.56,CL,1616139619
72,Saint-Joseph,-21.3667,55.6167,84.99,70,20,26.46,RE,1616139916
73,Vaini,-21.2,-175.2,78.8,89,20,3.44,TO,1616139689
74,Pouso Alegre,-22.23,-45.9364,66.0,93,86,1.5,BR,1616139919
75,Ahipara,-35.1667,173.1667,61.59,71,16,8.97,NZ,1616139920
76,Sobolevo,54.4299,31.8996,29.23,81,81,5.88,RU,1616139922
77,Cape Town,-33.9258,18.4232,66.2,59,20,20.71,ZA,1616139684
78,Yar-Sale,66.8333,70.8333,-6.9,94,53,11.5,RU,1616139924
79,Saskylakh,71.9167,114.0833,-19.07,91,100,12.64,RU,1616139928
80,Leeds,53.7964,-1.5477,45.0,49,100,3.0,GB,1616139758
81,Svetlyy Yar,48.4748,44.781,35.6,80,20,15.66,RU,1616139931
82,Paamiut,61.994,-49.6678,22.19,69,100,17.27,GL,1616139932
83,Nikolskoye,59.7035,30.7861,21.99,73,75,8.95,RU,1616139933
84,Opunake,-39.4556,173.8583,57.0,61,0,8.99,NZ,1616139935
85,Condado,21.8767,-79.8403,69.8,100,1,3.44,CU,1616139936
86,Tasiilaq,65.6145,-37.6368,30.2,74,20,10.36,GL,1616139938
87,Westport,41.1415,-73.3579,39.2,70,90,19.57,US,1616139939
88,Avera,33.194,-82.5271,51.8,71,40,13.8,US,1616139940
89,Mataura,-46.1927,168.8643,55.0,82,34,5.99,NZ,1616139942
90,Merauke,-8.4667,140.3333,82.53,78,100,5.44,ID,1616139943
91,Yellowknife,62.456,-114.3525,12.2,85,1,5.75,CA,1616139945
92,Nokaneng,-19.6667,22.2667,71.8,69,99,5.12,BW,1616139946
93,Carauari,-4.8828,-66.8958,71.83,97,100,2.06,BR,1616139947
94,Sitka,57.0531,-135.33,33.8,69,75,5.75,US,1616139949
95,Saint-Philippe,-21.3585,55.7679,84.99,70,20,26.46,RE,1616139804
96,Provideniya,64.3833,-173.3,-8.81,94,0,7.9,RU,1616139953
97,Torbay,47.6666,-52.7314,37.0,93,90,27.63,CA,1616139955
98,Kyra,49.5776,111.9753,26.92,55,43,11.03,RU,1616139957
99,Esperance,-33.8667,121.9,86.0,37,0,14.97,AU,1616139958
100,Mikuni,36.2171,136.1519,53.6,62,20,16.11,JP,1616139959
101,Den Helder,52.9599,4.7593,42.01,81,0,10.36,NL,1616139693
102,Mount Gambier,-37.8333,140.7667,75.2,57,0,14.97,AU,1616139866
103,Kalemie,-5.9475,29.1947,77.7,74,13,3.71,CD,1616139964
104,Cortez,37.3489,-108.5859,39.2,65,90,4.43,US,1616139966
105,Mazyr,52.0495,29.2456,33.21,76,100,4.56,BY,1616139967
106,Waddān,29.1614,16.139,70.43,25,3,24.43,LY,1616139968
107,Airai,-8.9266,125.4092,67.78,87,100,1.59,TL,1616139970
108,George Town,5.4112,100.3354,91.4,51,20,11.5,MY,1616139971
109,Halifax,44.6453,-63.5724,33.8,93,100,6.91,CA,1616139973
110,Taltal,-25.4,-70.4833,63.82,88,94,1.61,CL,1616139975
111,Gamboula,4.1178,15.1393,81.61,60,73,2.95,CF,1616139977
112,Ugoofaaru,5.6667,73.0,83.44,64,59,7.54,MV,1616139978
113,Matadi,-5.8167,13.45,82.35,80,100,1.72,CD,1616139979
114,Vostok,46.4856,135.8833,26.64,91,100,4.63,RU,1616139981
115,Cabo San Lucas,22.8909,-109.9124,60.01,58,0,4.7,MX,1616139982
116,Campos Altos,-19.6961,-46.1714,62.38,93,86,2.55,BR,1616139984
117,Nizwá,22.9333,57.5333,95.02,9,0,3.65,OM,1616139986
118,Zhigansk,66.7697,123.3711,20.37,81,100,11.63,RU,1616139988
119,Hithadhoo,-0.6,73.0833,82.65,72,95,12.46,MV,1616139989
120,Rincon,32.296,-81.2354,60.8,59,1,14.97,US,1616139990
121,Vila Franca do Campo,37.7167,-25.4333,57.2,82,40,5.75,PT,1616139992
122,Vestmannaeyjar,63.4427,-20.2734,46.6,93,100,21.21,IS,1616139993
123,Tual,-5.6667,132.75,84.38,67,93,7.27,ID,1616139995
124,Olavarría,-36.8927,-60.3225,52.0,78,39,4.14,AR,1616139780
125,Teeli,51.0333,90.2333,29.43,35,0,5.86,RU,1616139997
126,Badiraguato,25.3667,-107.5167,53.01,86,0,4.0,MX,1616139999
127,Luangwa,-15.6167,30.4167,81.03,70,33,5.46,ZM,1616140000
128,Los Llanos de Aridane,28.6585,-17.9182,62.6,39,20,8.05,ES,1616140001
129,Punta Alta,-38.8759,-62.0736,54.95,55,0,9.84,AR,1616140003
130,Asău,46.4333,26.4,33.01,64,100,3.27,RO,1616140004
131,Bambous Virieux,-20.3428,57.7575,84.2,70,40,10.36,MU,1616140006
132,Khatanga,71.9667,102.5,-15.92,93,100,9.01,RU,1616140007
133,Oudtshoorn,-33.5907,22.2014,66.2,77,20,8.05,ZA,1616140010
134,Qasigiannguit,68.8193,-51.1922,15.8,53,20,19.57,GL,1616140011
135,Marsá Maţrūḩ,31.3525,27.2453,60.8,59,0,11.5,EG,1616140014
136,Omboué,-1.5746,9.2618,78.53,83,94,4.14,GA,1616140015
137,Broome,42.2506,-75.833,28.0,50,1,16.11,US,1616140016
138,Kuršumlija,43.1458,21.2686,36.0,87,75,1.14,RS,1616140018
139,Pisco,-13.7,-76.2167,68.0,83,0,3.44,PE,1616140019
140,Tiksi,71.6872,128.8694,-2.04,99,100,6.76,RU,1616140021
141,Alofi,-19.0595,-169.9187,78.8,89,100,4.61,NU,1616140022
142,Longyearbyen,78.2186,15.6401,30.2,86,90,9.22,SJ,1616139828
143,Inndyr,67.0338,14.0276,25.0,93,90,21.85,NO,1616140025
144,Beloha,-25.1667,45.05,93.56,36,0,5.03,MG,1616140026
145,Nouadhibou,20.931,-17.0347,61.79,72,0,22.64,MR,1616140027
146,Dingle,10.9995,122.6711,87.22,64,23,9.89,PH,1616139892
147,Fairbanks,64.8378,-147.7164,6.8,78,90,2.55,US,1616140030
148,Corinth,37.9407,22.9573,53.01,62,60,3.0,GR,1616140031
149,Mandurah,-32.55,115.7,82.99,57,100,8.99,AU,1616140033
150,Fes,34.0372,-4.9998,51.8,93,75,3.44,MA,1616140034
151,Joshīmath,30.5667,79.5667,66.42,32,100,7.11,IN,1616140036
152,Raton,36.9034,-104.4391,33.8,75,1,3.44,US,1616140037
153,Buchanan,5.8808,-10.0467,73.4,94,75,4.61,LR,1616140038
155,Puerto Carreño,6.189,-67.4859,77.47,64,30,10.63,CO,1616140041
156,Zastron,-30.3023,27.084,74.14,26,0,12.26,ZA,1616140043
157,Qaanaaq,77.484,-69.3632,-10.21,81,100,6.4,GL,1616140044
158,Barinas,8.6226,-70.2075,78.8,73,97,3.44,VE,1616140045
